job_id,company_name,title,description,location,remote_allowed,formatted_experience_level,formatted_work_type,skills_desc,normalized_salary,application_url
3884441297,Comprehensive Resources Inc,Software Tester,"Software Tester - State Government or Public Sector Experience MUST - Jefferson City, MO



(CRI W2 Rate: $45/hr to $48/hr OR USC/GC Independent Contractor Rate: $52/hr to $55/hr)



Job Details



Client is seeking qualified individuals to support a software testing effort. The qualified applicant will have demonstrated testing experience across the Software Development Lifecycle (SDLC):


 



Position Responsibilities:


 



Understand system requirements to create and advise on test cases f","Jefferson City, MO",False,Entry level,Contract,"SYSTEM TESTING , MICROSOFT OFFICE , SOFTWARE DEVELOPMENT LIFECYCLE , SOFTWARE TESTER",104000.0,https://comprehensive.oorwin.com/careers/index.html#/job/cb4dd52770e258826c4174c36202b18f649e262f?source=linkedin_paid&postedby=7
3884442766,Worldwide Assurance for Employees of Public Agencies (WAEPA),Financial Analyst,"Position: Financial Analyst

Department: Finance & Admin

Reports to: Senior Financial Analyst

FLSA Status: Exempt

Pay Grade: 18

Job Summary

The Financial Analyst position focuses on contract administration and financial operations. The role includes managing contract workflows. Ensures contracts are comprehensive and comply with policy; organizing contract data for easy access and accuracy. Additionally, the position supports budgeting, forecasting, and financial reporting. This involves as","Falls Church, VA",False,Mid-Senior level,Full-time,"EDUCATION And EXPERIENCE

 Bachelor's degree in business administration (concentration in Finance or Accounting desirable) Minimum of two years relevant experience in a similar work setting

Required Skills

 Proficient in Microsoft Office 365 Knowledge of contract principles and procedures highly desirable Strong organizational skills Excellent written and verbal communication skills Excellent communication and interpersonal skills, with the ability to collaborate effectively with cross-functional teams. Attention to detail and the ability to prioritize tasks in a fast-paced environment.

Physical Requirements

 Prolonged periods sitting at a desk and working on a computer. Must be able to lift and carry up to 15 pounds at times.

PI239167388",0.0,https://www.click2apply.net/KLWeExSaW8pEni1ajuXRnN
3884446629,CBRE,Legal Data Analyst (Dallas/Chicago),"About the Role:

As a CBRE Legal Data Analyst, you will perform basic analysis to ensure that recommendations and business conclusions are backed by thorough data research and findings.

This job is part of Legal Support. They are responsible for performing and supporting a variety of law-related activities that does not require a law degree. 

What You’ll Do:

 * Coordinate data aggregation and curate reports using existing business intelligence and reporting applications.
 * Perform ad-hoc, st","Chicago, IL",False,Associate,Full-time,"What You’ll Need: 

 * Applicants must be currently authorized to work in the United States without the need for visa sponsorship now or in the future
 * Bachelor's Degree preferred with up to 3 years of relevant experience. In lieu of a degree, a combination of experience and education will be considered. 
 * Experience in quantitative analysis, data modeling, reporting, relational database tools, data warehousing, database architecture, SQL, and data visualization related work.
 * Working knowledge of PowerBI highly preferred.
 * Ability to use existing procedures to solve standard problems.
 * Experience with analyzing information and standard practices to make judgments.
 * In-depth knowledge of Microsoft Office products. Examples include Word, Excel, Outlook, etc.
 * Organizational skills with a strong inquisitive mindset.

When you join CBRE, you become part of a global leader in commercial real estate and investment services that help businesses and people thrive. We are dynamic problem solvers and forward thinking professionals who create significant impact. Our collaborative culture is built on our shared values — respect, integrity, service, and excellence — and we value the diverse perspectives, backgrounds, and skillsets of our people. At CBRE, you have the opportunity to chart your own course and realize your full potential.",0.0,https://careers.cbre.com/careers/JobDetail/Legal-Data-Analyst-Dallas-Chicago/162223
3884912496,Collabera,Java Developer,"Must Have:

Minimum of 8 years of professional experience in Java development.
Hands on experience with micro services (eureka server, config server, api gateway)
Design and implement microservices architecture, including Eureka server, config server, and API gateway.
Implement messaging solutions using Kafka for real-time data processing and event-driven architectures.
Utilize Git for version control, ensuring proper branching, merging, and code review processes.
Develop and maintain Unix scrip","Jersey City, NJ",False,Entry level,Contract,"Java,J2EE,core Java,Kafka,Apache,Apache Kafka,String,Spring,Springboot,Spring services,Spring boot,Microservices,Rest ,SOAP,APIs,API developement,Maven,Junit,Luna ,Oracle,SQL,Git,CI/CD,eureka,Config Server,API Gateway",0.0,https://collabera.com/join-us/careers/career-detail/?post=347831&refid=col_linkedin
3884917816,Tata Consultancy Services,Service Virtualization Engineer,"Hands-On experience on Parasoft Virtualize and SOA Test Automation Understanding of Synchronous and asynchronous transaction and Virtualizing multiple protocols like REST, SOAP, MQ, JDBC and Java objectsDevelop custom handler extensions like LDAP, SMPP, SSH by extending the out of box protocols to accommodate the existing format of API calls and handle data parsingAdministering of Service componentsDevelop PL/SQL scripts- DB-Procedures, triggers etc.Experience in Framework Development & Test Aut","Waltham, MA",False,Entry level,Full-time,"REST , PLSQL , SOAP",0.0,https://ibegin.tcs.com/iBegin/jobs/305777J
3884918714,Tata Consultancy Services,Snowflake Engineer,"Design, develop, optimize, and maintain data architecture and pipelines that adhere to high performing and optimized databases in Snowflake, ETL/ELT principles data load process and business goals.Create ELT process to ingest data from various data sources into a snowflake databaseLead architecture, technical design, database design, data loading and performance optimization of Snowflake platform and services.Skill set: e-Terra System, Snowflakes, Azure.","Allentown, NY",False,Entry level,Full-time,Azure,0.0,https://ibegin.tcs.com/iBegin/jobs/305763J
3884919514,Tata Consultancy Services,Developer,"Role: ServiceNow ITSM Developer

Enable the governance of the ITSM practices to confirm they are operating with accuracy based on defined and documented procedures.Minimum 5+ years working with ServiceNow Platform, ITIL Processes, JavaScript. ServiceNow CMDB is a plusDevelop full Scale ServiceNow Solutions and e Integrations with SailPoint, Okta, MoveWorks.Resolve technical end user inquiries related to the ITSM tools and practices and provide Global solutions.Deliver Leadership information to m","Cary, NC",False,Entry level,Full-time,"ITIL , Service Now , ITSM",0.0,https://ibegin.tcs.com/iBegin/jobs/305780J
3884920255,Tata Consultancy Services,Oracle HCM Cloud Architect,"Technical / Functional Skills

 15+ years’ Implementation / Support experience in implementing Oracle HCM Applications. 5+ years working with Oracle HCM in a Solution Architect role. Should have solid understanding of the Product and Business processes related to Oracle HCM Cloud Applications. Must have experience with Oracle HCM Cloud modules including Core HR, Benefits, Absences, Time & Labor, Payroll, Compensation and Talent & Performance. Experience working for BIG4 is a Plus. Should have a ","Jacksonville, FL",False,Mid-Senior level,Full-time,Oracle HCM,0.0,https://ibegin.tcs.com/iBegin/jobs/305765J
3884921208,Tata Consultancy Services,Tibco BW Developer,"Tibco BW 5.x TIBCO ADMIN, TIBCO EMS, SOAP Webservices, MQ.To design and develop business intelligence solutions which could help businesses retrieve, analyze, and transform data into useful business insights.To Develop from scratch in TIBCO BW 5, test and deploy the application in TIBCO ADMIN using Azure Automated deployment pipelines as well as manually.Should have experience on functional requirements and mapping documents and perform troubleshooting on all TIBCO BW development processes.Exper","Raymond, WA",False,Entry level,Full-time,TIBCO,0.0,https://ibegin.tcs.com/iBegin/jobs/305778J
3884923050,Tata Consultancy Services,AS400 Developer,"Roles And Responsibilities

 AS400 Developer Analysis, Design, Coding, Unit Testing, Implementation Dealing with Customer Candidate should have more than 5 years of AS400 development hands-on experience in the following skill set:

RPG, RPGLE, CL, CLLE, DB2, SQLRPGLE, ILE Concept

 Candidates should be aware of all development phases. Agile Knowledge Production Support experience Candidate should have strong communication skills. Candidate should have at least 1 year of Retail experience.","Fort Mill, SC",False,Entry level,Full-time,AS/400,0.0,https://ibegin.tcs.com/iBegin/jobs/305802J
